name,latitude,longitude
WP01-A,44.44035,26.08637
WP02-B,44.4409,26.08614
WP03-C,44.44139,26.08593
WP04-D,44.44217,26.08539
WP05-E,44.44251,26.0846
WP06-F,44.44309,26.08439
WP07-G,44.44346,26.08359
WP08-H,44.44386,26.0835
WP09-I,44.44428,26.0825
WP10-J,44.44489,26.08189
WP11-K,44.44519,26.08163
WP12-L,44.44556,26.08158
WP13-M,44.44654,26.08204
WP14-N,44.44739,26.08244
WP15-O,44.44879,26.08312
WP16-P,44.45073,26.08351
WP17-Q,44.45221,26.08458
WP18-R,44.45336,26.08343
WP19-S,44.45409,26.08255
WP20-T,44.45526,26.08139
WP21-U,44.45585,26.08061
WP22-V,44.45623,26.07996
WP23-W,44.45671,26.07955
WP24-X,44.4573,26.07893
WP25-Y,44.45798,26.07811
WP26-Z,44.45828,26.07865
WP27,44.45846,26.07967
WP28,44.45866,26.08062
WP29,44.45913,26.0805
WP30,44.45942,26.08039
WP31,44.45929,26.07973
WP32,44.45974,26.07927
