original_lat,original_lng,matched_lat,matched_lng,road_segment_id,confidence,distance_meters
44.440350,26.086370,44.440347,26.086363,3370927293-11726863639,1.000000,0.65
44.440900,26.086140,44.440859,26.086008,3370927393-11726863645,0.978063,11.42
44.441390,26.085930,44.441327,26.085725,3370927393-11726863645,1.000000,17.73
44.442170,26.085390,44.442087,26.085212,333553688-11726863646,0.999997,16.82
44.442510,26.084600,44.442587,26.084758,256018092-256018093,0.564062,15.18
44.443090,26.084390,44.443053,26.084313,256018092-256018093,0.972746,7.38
44.443460,26.083590,44.443561,26.083721,256018058-6264699811,0.976249,15.32
44.443860,26.083500,44.443784,26.083571,11053216651-11053216652,0.347145,10.17
44.444280,26.082500,44.444399,26.082703,256018411-13290283470,0.999764,20.86
44.444890,26.081890,44.444834,26.081840,2470054750-5326178178,0.474932,7.38
44.445190,26.081630,44.445156,26.081495,2470052700-2790718982,0.471532,11.38
44.445560,26.081580,44.445568,26.081521,2624728055-6252172971,0.290489,4.75
44.446540,26.082040,44.446569,26.081877,6252172973-11053216648,1.000000,13.33
44.447390,26.082440,44.447445,26.082251,2396593908-6252576223,0.977585,16.19
44.448790,26.083120,44.448835,26.082969,2396593914-6252576219,0.697442,13.02
44.450730,26.083510,44.450584,26.083990,2396593916-2396593918,0.000001,41.42
44.452210,26.084580,44.452196,26.084551,3057329510-3057329511,0.325742,2.83
44.453360,26.083430,44.453299,26.083323,5243010651-10556729876,0.959750,10.83
44.454090,26.082550,44.454048,26.082482,10556729871-10556729875,0.502880,7.12
44.455260,26.081390,44.455164,26.081224,749776173-10556729883,0.509810,17.01
44.455850,26.080610,44.455792,26.080505,749778005-2494999948,0.092368,10.56
44.456230,26.079960,44.456257,26.080010,3157605681-9818023315,0.619791,4.93
44.456710,26.079550,44.456698,26.079528,6262262589-12705758895,0.929721,2.20
44.457300,26.078930,44.457277,26.078890,6262262589-12705758895,0.914076,4.08
44.457980,26.078110,44.457974,26.078100,6262262590-6262262597,0.368793,1.03
44.458280,26.078650,44.458302,26.078641,255893676-318795125,0.497302,2.56
44.458460,26.079670,44.458505,26.079652,255893676-318795125,0.500000,5.19
44.458660,26.080620,44.458696,26.080606,255893676-318795125,0.346382,4.17
44.459130,26.080500,44.459127,26.080486,255894077-6261966315,1.000000,1.14
44.459420,26.080390,44.459409,26.080347,255894077-6261966315,0.999069,3.62
44.459290,26.079730,44.459390,26.079681,255894077-255894141,1.000000,11.79
44.459740,26.079270,44.459726,26.079231,3874214592-3874214594,0.406571,3.46
